id_batiment,nb_maisons,infra_id,infra_type,longueur
E000001,4,P007111,infra_intacte,12.3144613356693
E000001,4,P007983,infra_intacte,40.3209288665353
E000001,4,P000308,infra_intacte,39.1407985664577
E000001,4,P007819,infra_intacte,17.3904643240185
E000002,1,P007111,infra_intacte,12.3144613356693
E000002,1,P007983,infra_intacte,40.3209288665353
E000002,1,P000308,infra_intacte,39.1407985664577
E000002,1,P007240,infra_intacte,10.9146257880949
E000003,1,P007111,infra_intacte,12.3144613356693
E000003,1,P007111,infra_intacte,12.3144613356693
E000003,1,P007113,a_remplacer,12.1935087083631
E000003,1,P007984,a_remplacer,30.0575979492587
E000003,1,P007823,a_remplacer,12.290282829583
E000004,1,P007111,infra_intacte,12.3144613356693
E000004,1,P007983,infra_intacte,40.3209288665353
E000004,1,P000308,infra_intacte,39.1407985664577
E000004,1,P000378,infra_intacte,27.4818057324541
E000004,1,P007393,infra_intacte,10.6355248457681
E000005,1,P007111,infra_intacte,12.3144613356693
E000005,1,P007983,infra_intacte,40.3209288665353
E000005,1,P000308,infra_intacte,39.1407985664577
E000005,1,P000378,infra_intacte,27.4818057324541
E000005,1,P007249,infra_intacte,14.6437823794193
E000006,1,P007111,infra_intacte,12.3144613356693
E000006,1,P007983,infra_intacte,40.3209288665353
E000006,1,P000308,infra_intacte,39.1407985664577
E000006,1,P000308,infra_intacte,39.1407985664577
E000006,1,P007173,infra_intacte,8.70234350887561
E000007,1,P007111,infra_intacte,12.3144613356693
E000007,1,P007111,infra_intacte,12.3144613356693
E000007,1,P007111,infra_intacte,12.3144613356693
E000007,1,P007982,infra_intacte,49.956115228201
E000007,1,P000181,infra_intacte,6.18934271279126
E000007,1,P007132,infra_intacte,6.38798150462252
E000008,1,P007111,infra_intacte,12.3144613356693
E000008,1,P007111,infra_intacte,12.3144613356693
E000008,1,P007111,infra_intacte,12.3144613356693
E000008,1,P007982,infra_intacte,49.956115228201
E000008,1,P000352,infra_intacte,3.33298661989259
E000008,1,P007320,infra_intacte,5.49514798849418
E000009,1,P007111,infra_intacte,12.3144613356693
E000009,1,P007111,infra_intacte,12.3144613356693
E000009,1,P007111,infra_intacte,12.3144613356693
E000009,1,P007982,infra_intacte,49.956115228201
E000009,1,P000352,infra_intacte,3.33298661989259
E000009,1,P007286,infra_intacte,7.27509782129326
E000010,1,P007111,infra_intacte,12.3144613356693
E000010,1,P007111,infra_intacte,12.3144613356693
E000010,1,P007111,infra_intacte,12.3144613356693
E000010,1,P007982,infra_intacte,49.956115228201
E000010,1,P000352,infra_intacte,3.33298661989259
E000010,1,P007115,infra_intacte,10.5939670191223
E000011,1,P007111,infra_intacte,12.3144613356693
E000011,1,P007111,infra_intacte,12.3144613356693
E000011,1,P007111,infra_intacte,12.3144613356693
E000011,1,P007982,infra_intacte,49.956115228201
E000011,1,P000352,infra_intacte,3.33298661989259
E000011,1,P007321,infra_intacte,12.8143378133663
E000012,1,P007111,infra_intacte,12.3144613356693
E000012,1,P007111,infra_intacte,12.3144613356693
E000012,1,P007111,infra_intacte,12.3144613356693
E000012,1,P007982,infra_intacte,49.956115228201
E000012,1,P000241,infra_intacte,75.9819951693543
E000012,1,P007150,infra_intacte,8.33214989007513
E000013,1,P007111,infra_intacte,12.3144613356693
E000013,1,P007111,infra_intacte,12.3144613356693
E000013,1,P007111,infra_intacte,12.3144613356693
E000013,1,P007982,infra_intacte,49.956115228201
E000013,1,P000241,infra_intacte,75.9819951693543
E000013,1,P007151,infra_intacte,10.0290766801889
E000014,1,P007111,infra_intacte,12.3144613356693
E000014,1,P007111,infra_intacte,12.3144613356693
E000014,1,P007111,infra_intacte,12.3144613356693
E000014,1,P007982,infra_intacte,49.956115228201
E000014,1,P000241,infra_intacte,75.9819951693543
E000014,1,P007397,infra_intacte,11.6968926113381
E000015,1,P007111,infra_intacte,12.3144613356693
E000015,1,P007983,infra_intacte,40.3209288665353
E000015,1,P000160,infra_intacte,44.6252544771484
E000015,1,P000348,infra_intacte,9.12960147203556
E000015,1,P000020,infra_intacte,51.3121054948589
E000015,1,P007255,infra_intacte,12.4716405643877
E000016,1,P007111,infra_intacte,12.3144613356693
E000016,1,P007983,infra_intacte,40.3209288665353
E000016,1,P000160,infra_intacte,44.6252544771484
E000016,1,P000348,infra_intacte,9.12960147203556
E000016,1,P000020,infra_intacte,51.3121054948589
E000016,1,P007333,infra_intacte,10.3639351214682
E000017,1,P007111,infra_intacte,12.3144613356693
E000017,1,P007111,infra_intacte,12.3144613356693
E000017,1,P007111,infra_intacte,12.3144613356693
E000017,1,P007982,infra_intacte,49.956115228201
E000017,1,P000241,infra_intacte,75.9819951693543
E000017,1,P000029,infra_intacte,18.9457207565174
E000017,1,P007325,infra_intacte,8.42688269265196
E000018,1,P007111,infra_intacte,12.3144613356693
E000018,1,P007111,infra_intacte,12.3144613356693
E000018,1,P007111,infra_intacte,12.3144613356693
E000018,1,P007982,infra_intacte,49.956115228201
E000018,1,P000241,infra_intacte,75.9819951693543
E000018,1,P000029,infra_intacte,18.9457207565174
E000018,1,P007381,infra_intacte,9.80887356986274
E000019,1,P007111,infra_intacte,12.3144613356693
E000019,1,P007111,infra_intacte,12.3144613356693
E000019,1,P007111,infra_intacte,12.3144613356693
E000019,1,P007982,infra_intacte,49.956115228201
E000019,1,P000241,infra_intacte,75.9819951693543
E000019,1,P000170,infra_intacte,21.8831919484578
E000019,1,P007215,infra_intacte,7.51222531488334
E000020,1,P007111,infra_intacte,12.3144613356693
E000020,1,P007111,infra_intacte,12.3144613356693
E000020,1,P007111,infra_intacte,12.3144613356693
E000020,1,P007982,infra_intacte,49.956115228201
E000020,1,P000241,infra_intacte,75.9819951693543
E000020,1,P000170,infra_intacte,21.8831919484578
E000020,1,P007145,infra_intacte,7.75407103642654
E000021,1,P007111,infra_intacte,12.3144613356693
E000021,1,P007111,infra_intacte,12.3144613356693
E000021,1,P007111,infra_intacte,12.3144613356693
E000021,1,P007982,infra_intacte,49.956115228201
E000021,1,P000241,infra_intacte,75.9819951693543
E000021,1,P000170,infra_intacte,21.8831919484578
E000021,1,P007225,infra_intacte,10.3993778636477
E000022,1,P007111,infra_intacte,12.3144613356693
E000022,1,P007111,infra_intacte,12.3144613356693
E000022,1,P007111,infra_intacte,12.3144613356693
E000022,1,P007982,infra_intacte,49.956115228201
E000022,1,P000241,infra_intacte,75.9819951693543
E000022,1,P000040,infra_intacte,15.2944907641422
E000022,1,P007277,infra_intacte,9.02547153965115
E000023,1,P007111,infra_intacte,12.3144613356693
E000023,1,P007111,infra_intacte,12.3144613356693
E000023,1,P007111,infra_intacte,12.3144613356693
E000023,1,P007982,infra_intacte,49.956115228201
E000023,1,P000241,infra_intacte,75.9819951693543
E000023,1,P000298,infra_intacte,17.8683661881297
E000023,1,P007122,infra_intacte,10.5829298832587
E000024,1,P007111,infra_intacte,12.3144613356693
E000024,1,P007111,infra_intacte,12.3144613356693
E000024,1,P007111,infra_intacte,12.3144613356693
E000024,1,P007982,infra_intacte,49.956115228201
E000024,1,P000241,infra_intacte,75.9819951693543
E000024,1,P000298,infra_intacte,17.8683661881297
E000024,1,P007368,infra_intacte,12.3590774620561
E000025,1,P007111,infra_intacte,12.3144613356693
E000025,1,P007982,infra_intacte,49.956115228201
E000025,1,P000181,infra_intacte,6.18934271279126
E000025,1,P000394,infra_intacte,37.5183055134459
E000025,1,P000395,infra_intacte,61.6365018431784
E000025,1,P000381,infra_intacte,55.0605613618661
E000025,1,P007251,infra_intacte,7.71576907713709
E000026,1,P007111,infra_intacte,12.3144613356693
E000026,1,P007982,infra_intacte,49.956115228201
E000026,1,P000181,infra_intacte,6.18934271279126
E000026,1,P000394,infra_intacte,37.5183055134459
E000026,1,P000395,infra_intacte,61.6365018431784
E000026,1,P000381,infra_intacte,55.0605613618661
E000026,1,P007243,infra_intacte,10.8332248506963
E000027,1,P007111,infra_intacte,12.3144613356693
E000027,1,P007982,infra_intacte,49.956115228201
E000027,1,P000181,infra_intacte,6.18934271279126
E000027,1,P000394,infra_intacte,37.5183055134459
E000027,1,P000395,infra_intacte,61.6365018431784
E000027,1,P000381,infra_intacte,55.0605613618661
E000027,1,P007146,infra_intacte,14.1328129079196
E000028,1,P007111,infra_intacte,12.3144613356693
E000028,1,P007982,infra_intacte,49.956115228201
E000028,1,P000181,infra_intacte,6.18934271279126
E000028,1,P000394,infra_intacte,37.5183055134459
E000028,1,P000395,infra_intacte,61.6365018431784
E000028,1,P000381,infra_intacte,55.0605613618661
E000028,1,P007338,infra_intacte,17.7187304348002
E000029,1,P007111,infra_intacte,12.3144613356693
E000029,1,P007982,infra_intacte,49.956115228201
E000029,1,P000181,infra_intacte,6.18934271279126
E000029,1,P000394,infra_intacte,37.5183055134459
E000029,1,P000395,infra_intacte,61.6365018431784
E000029,1,P000334,infra_intacte,9.01673275932094
E000029,1,P007328,infra_intacte,13.580887613469
E000030,1,P007111,infra_intacte,12.3144613356693
E000030,1,P007982,infra_intacte,49.956115228201
E000030,1,P000181,infra_intacte,6.18934271279126
E000030,1,P000394,infra_intacte,37.5183055134459
E000030,1,P000395,infra_intacte,61.6365018431784
E000030,1,P000334,infra_intacte,9.01673275932094
E000030,1,P007244,infra_intacte,13.8202543784816
E000031,1,P007111,infra_intacte,12.3144613356693
E000031,1,P007982,infra_intacte,49.956115228201
E000031,1,P000181,infra_intacte,6.18934271279126
E000031,1,P000394,infra_intacte,37.5183055134459
E000031,1,P000395,infra_intacte,61.6365018431784
E000031,1,P000334,infra_intacte,9.01673275932094
E000031,1,P007133,infra_intacte,15.2467571493073
E000032,1,P007111,infra_intacte,12.3144613356693
E000032,1,P007982,infra_intacte,49.956115228201
E000032,1,P000181,infra_intacte,6.18934271279126
E000032,1,P000394,infra_intacte,37.5183055134459
E000032,1,P000395,infra_intacte,61.6365018431784
E000032,1,P000334,infra_intacte,9.01673275932094
E000032,1,P007152,infra_intacte,17.3707128102982
E000033,1,P007111,infra_intacte,12.3144613356693
E000033,1,P007982,infra_intacte,49.956115228201
E000033,1,P000181,infra_intacte,6.18934271279126
E000033,1,P000394,infra_intacte,37.5183055134459
E000033,1,P000395,infra_intacte,61.6365018431784
E000033,1,P000334,infra_intacte,9.01673275932094
E000033,1,P007227,infra_intacte,19.3633643271163
E000034,1,P007111,infra_intacte,12.3144613356693
E000034,1,P007982,infra_intacte,49.956115228201
E000034,1,P000181,infra_intacte,6.18934271279126
E000034,1,P000394,infra_intacte,37.5183055134459
E000034,1,P000395,infra_intacte,61.6365018431784
E000034,1,P000052,infra_intacte,12.8565075983714
E000034,1,P007177,infra_intacte,2.34927288108204
E000035,1,P007111,infra_intacte,12.3144613356693
E000035,1,P007982,infra_intacte,49.956115228201
E000035,1,P000181,infra_intacte,6.18934271279126
E000035,1,P000394,infra_intacte,37.5183055134459
E000035,1,P000395,infra_intacte,61.6365018431784
